City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
332,Alofi,NU,-19.0595,-169.9187,73.29,88,94,9.22,overcast clouds
333,Khislavichi,RU,54.1871,32.1582,55.63,91,23,7.05,few clouds
334,Port Blair,IN,11.6667,92.75,78.84,94,75,3.44,mist
335,Lavrentiya,RU,65.5833,-171.0,41.58,66,100,1.92,overcast clouds
336,Raga,SS,8.4596,25.678,69.62,97,100,4.61,overcast clouds
337,Coquimbo,CL,-29.9533,-71.3436,56.93,88,20,9.22,few clouds
338,Saint-Francois,FR,46.4154,3.9054,85.44,39,0,6.91,clear sky
339,Baragua,CU,21.6967,-78.6328,89.71,56,18,14.5,few clouds
340,Broken Hill,AU,-31.95,141.4333,42.94,64,100,11.81,overcast clouds
341,Fort Nelson,CA,58.8053,-122.7002,71.19,40,75,17.27,broken clouds
342,Midland,US,31.9974,-102.0779,107.8,17,100,8.05,overcast clouds
343,Constitucion,CL,-35.3333,-72.4167,56.26,61,5,12.37,clear sky
344,Nacozari,MX,25.3366,-108.2574,96.12,52,0,9.24,clear sky
345,Pringsewu,ID,-5.3582,104.9744,72.9,97,41,0.78,scattered clouds
346,Nuevitas,CU,21.5453,-77.2644,86.32,64,6,13.29,clear sky
347,Monrovia,LR,6.3005,-10.7969,76.01,76,100,9.31,overcast clouds
